,Dates,AUDNZD,EURCHF,AUDJPY,AUDSGD,EURAUD,EURJPY,EURNZD,EURSGD,GBPAUD,GBPCAD,GBPCHF,GBPNZD,NZDCAD,NZDJPY,SGDJPY,NZDUSD,AUDUSD,USDCHF,USDJPY,GBPUSD,EURUSD,USDCAD,USDSGD
66,28.03.2017,D,L,W,W,W,L,W,W,W,W,W,W,D,L,D,L,W,W,W,W,W,L,L
67,29.03.2017,W,D,W,D,W,L,L,W,L,L,L,L,W,L,W,L,D,W,L,W,W,W,L
68,30.03.2017,D,L,W,D,W,L,D,L,W,L,W,W,W,L,L,L,D,L,W,L,D,L,D
69,31.03.2017,D,D,W,W,D,L,D,D,W,W,L,W,L,W,W,D,W,W,L,L,D,D,D
71,03.04.2017,L,D,W,W,W,D,W,D,L,L,W,L,L,D,D,L,W,L,D,W,L,W,L
72,04.04.2017,W,W,W,L,L,L,W,W,W,W,L,W,D,L,L,W,L,W,W,L,D,W,W
73,05.04.2017,D,D,L,L,D,W,W,W,W,L,W,L,D,W,L,L,L,L,L,W,D,L,D
74,06.04.2017,D,D,W,W,D,W,L,L,W,W,W,W,W,L,L,W,W,L,L,W,W,W,L
75,07.04.2017,W,D,D,D,W,D,L,L,L,L,L,L,D,D,D,L,D,W,L,L,D,W,D
77,10.04.2017,D,D,L,L,W,D,L,W,W,W,L,D,D,D,D,L,L,W,D,W,W,L,L
78,11.04.2017,W,D,L,W,W,W,W,L,W,W,L,W,W,W,L,W,W,W,W,W,D,D,W
79,12.04.2017,W,L,L,D,D,L,D,W,L,L,L,D,L,D,D,D,D,W,W,L,L,L,W
80,13.04.2017,D,D,W,D,L,W,L,D,L,L,L,L,D,L,L,D,D,L,L,L,D,D,D
81,14.04.2017,L,L,W,W,L,D,L,L,W,W,W,L,D,L,D,D,D,D,D,D,L,W,D
83,17.04.2017,L,D,L,L,W,W,W,W,W,W,L,W,W,W,L,W,L,L,L,W,W,W,D
84,18.04.2017,W,D,L,W,W,W,L,D,W,W,W,L,D,D,L,L,W,L,L,L,L,D,L
85,19.04.2017,L,W,L,D,L,W,W,D,L,W,L,W,D,D,W,D,L,L,W,L,D,L,D
86,20.04.2017,D,L,L,D,L,L,L,L,W,L,L,L,W,L,D,W,D,L,L,W,L,L,D
87,21.04.2017,D,W,D,D,L,D,D,D,L,L,L,L,L,D,L,L,D,D,D,L,D,W,L
89,24.04.2017,W,W,W,W,D,L,D,L,L,D,W,W,W,W,L,W,W,L,L,L,L,D,D
90,25.04.2017,W,L,W,W,W,W,W,L,W,L,L,W,W,W,W,W,L,W,W,L,L,W,W
91,26.04.2017,W,W,W,W,L,W,L,L,L,L,L,W,W,W,D,W,L,L,L,W,W,W,W
92,27.04.2017,W,L,L,D,L,W,W,L,L,W,W,W,D,L,W,W,L,W,L,W,L,W,D
93,28.04.2017,D,W,D,W,D,W,L,D,D,L,D,L,L,D,W,L,D,L,L,L,D,W,D
95,01.05.2017,L,L,D,D,W,D,W,D,W,W,W,W,W,D,D,D,D,D,W,W,D,L,D
96,02.05.2017,D,W,L,W,W,W,L,D,W,L,W,W,L,D,D,L,L,W,W,L,D,W,L
97,03.05.2017,W,L,W,W,W,W,W,L,W,W,W,W,W,L,L,W,W,L,W,W,L,L,W
98,04.05.2017,W,W,W,W,W,L,L,W,W,W,W,L,L,W,W,L,W,L,W,L,L,L,W
99,05.05.2017,W,W,D,L,D,D,D,D,W,W,W,W,L,W,L,L,L,D,W,L,D,L,D
101,08.05.2017,D,W,L,W,L,L,L,D,L,W,W,L,L,W,W,L,W,W,W,L,W,W,W
102,09.05.2017,L,W,W,L,L,W,L,D,L,W,W,W,W,W,W,L,L,W,L,L,D,L,D
103,10.05.2017,D,L,L,D,W,W,D,W,L,L,L,W,L,D,L,D,D,L,L,L,D,D,W
104,11.05.2017,W,L,W,L,L,W,W,L,L,W,W,W,W,W,D,L,W,W,W,W,L,W,W
105,12.05.2017,D,D,D,L,L,D,W,W,W,L,W,W,D,D,D,D,W,W,D,D,W,W,W
107,15.05.2017,L,W,W,L,W,L,W,W,W,L,W,L,W,W,L,L,W,D,D,L,D,L,W
