,Dates,AUDNZD,EURCHF,AUDJPY,AUDSGD,EURAUD,EURJPY,EURNZD,EURSGD,GBPAUD,GBPCAD,GBPCHF,GBPNZD,NZDCAD,NZDJPY,SGDJPY,NZDUSD,AUDUSD,USDCHF,USDJPY,GBPUSD,EURUSD,USDCAD,USDSGD
284,07.12.2017,L,L,W,L,L,W,L,L,W,W,W,W,L,L,W,L,L,L,D,W,W,L,D
285,08.12.2017,W,D,W,D,L,W,W,D,W,L,L,W,D,D,D,D,L,D,W,W,D,D,D
287,11.12.2017,L,W,L,D,L,L,W,W,L,W,L,W,D,W,D,W,W,W,L,L,L,L,L
288,12.12.2017,W,W,L,D,L,L,W,L,L,L,D,W,D,L,W,L,L,L,L,L,L,L,D
306,03.01.2018,L,W,W,W,L,D,W,D,W,W,L,W,W,W,D,L,W,L,W,L,L,L,L
307,04.01.2018,W,D,L,D,W,D,L,L,L,L,W,L,L,W,D,W,L,D,W,W,L,L,D
308,05.01.2018,D,W,L,D,W,L,W,D,D,W,W,W,L,D,L,W,W,W,W,L,W,L,L
310,08.01.2018,L,D,W,D,W,W,W,D,L,L,D,L,W,L,W,W,W,W,W,L,W,W,W
311,09.01.2018,W,L,D,L,L,W,W,L,L,L,L,L,W,D,D,L,L,L,W,L,L,L,L
312,10.01.2018,L,D,L,L,W,L,L,W,W,W,L,L,W,D,D,L,W,L,L,W,W,W,W
313,11.01.2018,L,D,L,D,D,D,D,D,D,D,L,L,L,L,W,L,L,W,L,D,D,L,W
314,12.01.2018,W,L,L,D,L,L,L,W,D,W,L,D,D,L,L,D,D,W,W,D,W,W,D
316,15.01.2018,L,L,W,D,W,W,L,L,L,L,L,D,L,L,D,L,L,L,D,L,L,L,L
317,16.01.2018,D,L,D,W,L,L,W,W,L,W,D,W,L,L,D,L,L,L,L,W,W,W,L
318,17.01.2018,L,W,L,L,L,W,L,L,W,W,D,W,W,L,D,L,L,L,W,L,L,W,D
319,18.01.2018,D,W,W,L,W,L,W,W,L,W,W,W,W,D,L,L,D,W,W,W,W,L,W
320,19.01.2018,L,D,L,D,D,W,D,D,W,L,W,L,W,D,L,L,L,L,D,W,D,L,D
322,22.01.2018,W,L,W,D,L,L,W,L,W,W,L,L,D,W,L,W,L,W,L,W,W,L,D
323,23.01.2018,L,W,L,L,L,D,L,D,W,L,W,L,W,W,W,W,L,W,W,D,W,W,D
324,24.01.2018,L,W,L,L,L,W,W,W,L,W,W,W,L,D,D,L,W,W,W,W,W,W,W
325,25.01.2018,D,W,D,D,W,L,L,D,L,W,L,L,L,W,L,L,D,W,L,D,L,L,D
326,26.01.2018,W,L,L,D,L,L,L,L,L,L,W,L,L,D,D,L,L,D,L,W,L,L,L
328,29.01.2018,L,L,L,D,L,W,W,D,L,W,W,W,D,W,L,L,W,W,L,W,W,W,W
329,30.01.2018,W,L,W,L,W,D,L,W,W,W,L,L,D,D,L,D,W,L,L,W,W,W,L
330,31.01.2018,W,L,W,W,W,W,L,W,W,L,L,L,L,D,D,L,W,L,W,W,W,W,L
331,01.02.2018,D,W,L,D,D,W,D,W,D,W,L,W,D,L,D,L,W,L,W,W,L,L,D
332,02.02.2018,L,L,W,W,W,L,L,L,L,L,D,W,L,L,W,L,L,W,L,L,W,L,D
334,05.02.2018,W,L,W,W,L,L,L,L,L,L,L,W,W,L,W,L,W,L,W,L,L,W,L
335,06.02.2018,L,W,D,D,L,L,D,W,D,W,W,W,D,D,D,D,L,L,L,L,L,D,L
336,07.02.2018,W,W,L,D,L,L,W,L,L,L,W,D,L,W,W,D,L,W,L,L,L,W,W
337,08.02.2018,L,L,L,L,W,L,W,L,L,L,W,L,W,L,L,W,L,L,L,L,L,W,L
338,09.02.2018,W,W,W,D,W,W,L,W,L,L,L,L,D,W,D,W,W,L,D,L,W,W,D
340,12.02.2018,L,L,W,L,W,L,L,W,L,W,W,L,W,L,D,L,L,W,W,W,W,L,D
341,13.02.2018,W,L,W,W,W,W,L,L,L,L,W,L,W,L,W,W,L,W,W,W,L,W,L
342,14.02.2018,W,L,L,L,L,L,W,D,L,W,L,W,D,L,D,D,W,D,D,D,W,W,W
343,15.02.2018,D,W,L,D,L,L,W,W,W,L,W,L,D,W,W,W,W,W,L,W,W,W,W
344,16.02.2018,L,L,D,D,W,D,W,D,W,D,L,W,D,D,D,W,D,W,L,W,W,L,W
346,19.02.2018,W,W,W,W,L,W,L,D,L,W,W,L,D,W,D,W,L,W,D,W,L,D,D
347,20.02.2018,W,D,W,D,L,W,L,D,W,L,L,L,W,W,W,W,W,W,W,D,W,W,W
348,21.02.2018,L,W,D,L,L,D,L,D,W,W,W,W,L,D,D,L,L,W,D,L,L,L,L
349,22.02.2018,D,L,W,D,L,W,D,L,D,W,L,D,D,W,W,D,D,D,L,L,L,L,L
350,23.02.2018,L,W,L,D,L,D,L,W,W,D,W,L,D,L,D,L,L,L,D,W,L,L,L
352,26.02.2018,D,L,W,L,W,W,D,D,W,W,L,L,D,L,L,L,L,L,L,L,L,W,L
353,27.02.2018,W,D,W,W,L,W,L,W,W,L,L,L,W,W,D,W,L,W,L,W,W,W,D
354,28.02.2018,W,W,W,D,W,W,L,L,L,L,L,L,W,L,L,W,W,W,L,W,W,W,W
355,01.03.2018,W,L,W,D,L,L,W,W,L,W,W,L,D,W,W,L,D,W,W,W,W,W,W
356,02.03.2018,W,W,W,D,W,W,W,L,W,W,L,D,W,W,L,W,L,L,L,L,L,D,L
358,05.03.2018,L,D,L,W,L,L,W,W,L,W,L,L,D,W,L,L,W,W,L,L,W,W,W
359,06.03.2018,D,L,D,W,D,D,L,D,L,L,W,L,W,L,L,L,L,W,W,W,D,D,D
360,07.03.2018,D,L,W,L,L,L,L,L,W,W,L,W,W,W,L,L,W,W,W,L,L,L,L
361,08.03.2018,L,L,D,D,L,D,L,W,L,W,W,W,L,D,D,L,L,L,D,L,W,W,L
362,09.03.2018,W,W,W,D,W,L,W,W,W,L,W,L,D,D,D,D,D,L,L,W,L,L,W
364,12.03.2018,L,L,W,W,L,L,L,L,L,L,L,L,D,L,L,W,W,L,L,L,W,W,W
365,13.03.2018,L,D,L,L,L,W,L,L,W,L,W,L,D,W,D,W,L,L,W,L,L,L,W
366,14.03.2018,D,L,W,L,L,W,D,D,L,W,W,L,L,D,D,L,L,L,W,L,W,L,L
367,15.03.2018,L,D,D,W,D,W,D,D,D,W,L,D,D,W,D,D,W,L,L,W,L,W,W
368,16.03.2018,W,L,W,D,W,L,L,W,D,W,W,W,L,W,W,W,W,L,L,D,L,L,L
370,19.03.2018,L,L,W,D,L,W,D,L,W,W,W,W,L,W,W,L,W,L,W,W,L,L,W
371,20.03.2018,D,L,W,L,W,L,D,D,L,W,L,D,W,W,L,W,L,D,L,D,D,W,L
372,21.03.2018,L,L,L,D,L,L,W,D,L,L,L,L,L,L,D,W,W,L,D,W,L,W,L
373,22.03.2018,W,L,W,D,W,W,W,W,L,W,L,L,L,W,D,D,L,W,W,L,D,D,D
374,23.03.2018,W,W,D,L,L,D,W,W,L,W,D,W,D,D,D,D,D,L,D,D,D,L,W
376,26.03.2018,W,D,L,D,W,L,W,L,W,D,L,W,D,D,D,L,L,W,D,L,W,W,W
377,27.03.2018,L,L,L,W,L,L,W,W,W,L,L,L,W,L,D,W,L,W,D,L,W,W,D
378,28.03.2018,D,D,L,D,W,L,W,D,L,W,L,W,W,L,L,W,L,W,L,L,D,L,D
379,29.03.2018,D,W,L,D,W,W,D,D,W,L,W,L,D,W,D,W,W,D,W,L,L,D,D
380,30.03.2018,D,D,L,D,D,W,D,W,D,D,D,D,D,W,W,W,L,D,W,D,L,L,L
382,02.04.2018,L,W,L,D,L,L,L,W,L,L,D,L,L,L,L,L,L,L,L,L,L,L,L
383,03.04.2018,W,W,W,W,W,L,W,L,W,L,L,L,L,W,L,D,W,L,L,W,L,W,L
384,04.04.2018,W,L,W,D,L,W,W,D,L,W,L,L,D,W,W,L,L,W,W,L,L,L,W
385,05.04.2018,L,W,L,D,W,L,D,D,L,D,L,D,D,D,D,D,D,L,L,L,L,L,W
386,06.04.2018,W,D,L,D,L,L,L,L,L,W,D,L,D,D,D,D,W,W,L,W,W,W,W
388,09.04.2018,L,W,W,D,L,W,W,W,L,W,W,W,D,W,W,W,W,L,L,W,W,W,W
389,10.04.2018,D,D,L,D,L,L,L,W,L,L,W,L,L,L,L,W,D,W,L,W,W,W,D
390,11.04.2018,W,W,L,D,L,W,L,D,W,L,D,D,D,D,L,L,D,W,L,L,L,L,L
391,12.04.2018,L,D,W,D,W,W,L,L,L,L,D,L,L,W,D,W,W,W,W,W,D,L,D
392,13.04.2018,W,D,L,D,L,L,D,D,L,D,D,D,D,W,L,W,D,W,L,W,W,L,D
394,16.04.2018,L,W,W,D,W,L,W,L,L,L,W,D,W,W,D,L,D,W,W,W,W,W,D
395,17.04.2018,D,D,D,D,W,D,D,D,W,W,L,W,L,L,D,W,L,W,D,W,D,L,D
396,18.04.2018,W,L,W,L,L,L,W,W,W,L,L,L,L,W,D,L,W,L,W,L,L,L,D
397,19.04.2018,D,L,L,W,D,W,D,W,L,W,W,D,D,W,D,D,W,W,D,W,W,W,D
398,20.04.2018,D,W,L,D,W,L,D,D,D,W,W,D,D,D,D,D,W,D,W,W,W,D,D
400,23.04.2018,W,L,W,W,W,W,W,L,W,L,W,W,D,W,W,W,W,W,W,W,L,L,L
401,24.04.2018,W,W,L,D,W,W,D,D,D,W,D,D,W,W,D,W,W,W,W,L,L,L,D
402,25.04.2018,D,L,W,D,L,W,W,W,L,W,W,D,L,D,D,L,L,W,L,W,L,W,L
403,26.04.2018,D,D,W,W,L,W,L,W,W,L,L,W,D,W,L,W,W,W,L,L,W,W,W
404,27.04.2018,D,D,L,D,D,W,L,L,L,L,L,L,L,L,D,L,L,L,L,L,L,L,D
406,30.04.2018,D,W,L,D,L,W,L,D,L,D,L,L,W,D,D,W,W,W,W,W,W,W,W
407,01.05.2018,D,D,W,D,L,L,W,D,W,W,L,W,D,W,D,L,L,L,L,W,L,L,W
408,02.05.2018,L,L,W,D,W,L,L,W,W,L,L,W,W,L,W,L,W,L,W,L,L,L,L
409,03.05.2018,L,L,L,W,W,D,W,L,W,L,L,L,L,L,W,L,W,L,W,W,L,L,L
410,04.05.2018,D,L,D,D,D,W,W,D,D,D,L,L,D,W,D,L,L,L,W,L,W,W,W
412,07.05.2018,D,W,W,L,W,W,L,W,D,D,L,W,W,W,W,L,W,W,W,W,W,W,W
413,08.05.2018,W,L,L,L,L,L,W,L,W,L,L,L,W,L,L,W,W,L,W,W,W,W,W
414,09.05.2018,D,W,W,D,L,W,D,L,W,W,L,W,D,D,W,W,W,L,W,L,L,W,L
415,10.05.2018,W,L,L,D,W,L,L,L,L,W,L,L,D,L,D,W,W,W,L,L,W,W,W
416,11.05.2018,D,D,D,L,W,D,D,W,L,W,L,W,W,L,D,W,D,W,L,D,D,L,W
418,14.05.2018,L,W,W,W,W,L,W,L,W,L,L,W,W,L,D,W,W,W,D,L,W,W,W
419,15.05.2018,L,D,W,L,W,D,W,D,W,D,W,L,L,L,L,L,W,L,L,L,W,D,L
420,16.05.2018,W,L,W,D,L,L,W,D,L,W,D,D,W,W,W,W,W,L,L,L,L,L,L
421,17.05.2018,L,W,W,D,W,L,W,D,W,L,L,L,W,D,D,D,L,L,D,L,W,W,W
422,18.05.2018,D,W,W,D,W,L,L,D,W,L,W,L,D,W,W,W,W,D,W,W,D,L,D
424,21.05.2018,W,L,L,D,W,W,W,L,L,L,W,W,W,W,D,W,W,W,L,L,L,L,W
425,22.05.2018,D,W,W,D,L,W,W,L,W,W,W,W,L,W,D,W,W,W,D,L,W,W,D
426,23.05.2018,D,W,W,D,L,W,L,D,D,D,W,L,L,W,W,L,L,D,D,D,L,W,L
427,24.05.2018,W,W,L,D,D,W,L,W,W,W,W,L,W,L,D,L,L,L,L,L,L,W,L
428,25.05.2018,W,W,L,D,L,L,W,W,W,D,D,W,D,L,L,L,L,L,L,L,L,D,D
430,28.05.2018,D,W,W,L,L,W,L,W,L,L,L,W,L,W,W,L,W,W,W,W,W,W,W
431,29.05.2018,L,L,W,L,L,W,W,L,L,W,L,L,L,W,L,L,L,L,W,D,L,L,L
432,30.05.2018,W,W,L,D,W,L,W,W,L,L,W,L,W,L,L,L,L,W,L,W,W,W,W
433,31.05.2018,L,L,L,W,L,W,L,W,L,W,L,W,L,D,D,L,W,L,L,L,L,L,D
434,01.06.2018,D,D,D,D,W,D,L,D,L,L,L,L,D,D,D,D,D,L,W,L,D,W,D
436,04.06.2018,L,L,L,D,L,W,W,L,L,L,L,L,W,L,D,W,L,W,W,L,L,L,W
437,05.06.2018,D,L,D,D,L,D,L,W,L,L,D,L,L,D,D,D,D,L,D,D,W,L,D
438,06.06.2018,L,W,L,D,D,L,W,D,L,L,L,W,L,L,L,W,L,L,L,W,D,L,D
439,07.06.2018,W,W,L,W,W,L,W,L,D,W,L,L,W,W,W,W,W,L,L,L,L,W,W
440,08.06.2018,L,D,D,D,W,D,L,W,D,L,W,L,D,D,D,D,D,W,D,L,L,W,D
442,11.06.2018,D,L,W,L,W,W,L,W,W,W,L,W,W,W,D,L,L,L,D,W,L,D,D
443,12.06.2018,W,D,D,W,W,D,W,L,W,L,L,L,W,D,D,L,L,L,D,W,L,W,W
444,13.06.2018,W,W,D,W,L,L,W,W,L,L,L,L,W,W,W,W,L,W,W,W,W,W,L
445,14.06.2018,D,L,W,D,D,W,D,L,W,W,L,D,W,W,W,W,W,W,L,W,L,W,W
446,15.06.2018,L,L,W,L,L,L,L,W,L,L,W,L,D,W,D,L,W,L,L,W,W,L,D
448,18.06.2018,W,L,W,D,W,D,L,W,W,W,W,L,L,D,D,L,W,W,W,W,L,W,L
449,19.06.2018,L,L,L,D,L,W,L,L,W,L,L,L,L,L,D,W,L,L,W,W,W,D,D
450,20.06.2018,W,L,W,L,W,W,W,W,W,W,L,W,D,D,L,D,W,W,W,W,W,W,W
451,21.06.2018,W,L,L,D,L,L,L,D,W,W,L,L,W,D,D,D,D,W,L,D,W,L,W
452,22.06.2018,D,L,L,L,L,L,L,D,D,L,W,L,D,L,W,L,L,L,W,L,L,D,D
454,25.06.2018,D,L,W,W,W,D,D,L,W,W,L,D,W,D,W,W,W,L,W,L,L,W,L
455,26.06.2018,D,D,W,W,L,W,W,W,W,L,W,D,D,W,L,D,W,L,L,W,W,L,W
456,27.06.2018,W,L,W,D,W,L,W,L,W,W,W,W,D,W,D,W,L,W,L,W,L,L,W
457,28.06.2018,W,W,L,W,L,W,W,D,W,L,L,W,W,W,W,W,W,L,W,L,W,W,L
458,29.06.2018,W,L,W,L,W,L,W,D,D,L,W,D,W,W,L,D,D,D,D,L,L,L,D
460,02.07.2018,D,W,L,D,W,L,W,W,W,L,W,W,L,W,W,W,W,L,W,W,L,L,W
461,03.07.2018,W,D,W,D,W,W,W,D,W,W,W,W,D,W,D,W,W,L,D,W,D,W,W
462,04.07.2018,W,D,L,D,D,W,W,D,W,W,W,L,W,L,L,W,L,D,L,W,L,L,D
463,05.07.2018,D,D,W,D,L,W,W,L,L,L,W,W,W,D,W,D,W,L,W,L,W,W,L
464,06.07.2018,D,W,W,D,W,W,D,D,D,W,W,L,D,W,D,W,W,W,L,W,D,L,D
466,09.07.2018,D,D,W,L,W,W,L,L,W,L,W,L,L,W,D,D,L,W,D,W,L,W,D
467,10.07.2018,W,W,D,W,D,L,D,L,D,W,L,W,D,D,W,D,D,W,W,L,W,W,D
468,11.07.2018,D,L,L,D,L,W,L,W,L,L,L,L,D,L,D,L,L,W,W,L,D,L,L
469,12.07.2018,D,L,W,W,W,L,W,L,L,W,W,W,W,W,L,L,L,W,L,W,W,L,L
470,13.07.2018,L,L,D,L,W,D,L,D,W,W,W,L,D,D,L,L,W,W,D,W,W,L,L
472,16.07.2018,W,W,W,D,L,D,W,W,L,W,W,W,W,D,D,W,L,W,W,W,W,L,W
473,17.07.2018,D,W,L,L,W,L,L,D,L,L,L,W,W,L,L,L,W,W,L,W,W,D,W
474,18.07.2018,D,D,W,L,W,W,L,D,W,W,W,L,L,L,W,L,W,L,W,W,W,L,W
475,19.07.2018,D,W,L,L,W,L,L,W,W,L,L,W,W,L,W,L,W,D,L,L,W,L,W
476,20.07.2018,D,W,W,D,L,W,D,D,L,L,W,D,D,W,D,L,L,W,L,W,L,L,L
478,23.07.2018,L,L,W,L,W,W,L,W,W,W,D,L,D,W,W,L,L,W,W,W,W,L,L
479,24.07.2018,D,D,L,D,L,L,W,D,L,W,W,W,L,W,D,W,L,L,L,W,D,W,W
480,25.07.2018,L,L,L,W,D,L,L,L,D,W,W,L,W,L,L,L,L,L,L,L,L,L,L
481,26.07.2018,D,L,W,D,L,D,W,W,L,W,L,W,D,W,D,W,L,W,L,W,D,L,L
482,27.07.2018,L,D,W,D,L,D,W,D,D,W,W,W,D,D,D,D,D,W,L,L,W,W,D
484,30.07.2018,L,L,W,D,L,W,L,D,L,L,W,L,L,W,L,W,D,L,W,L,W,L,L
485,31.07.2018,D,W,L,L,D,W,D,L,D,L,W,D,W,L,L,D,D,D,W,L,W,W,D
486,01.08.2018,W,W,W,D,W,W,W,D,L,W,L,W,W,W,D,W,W,W,W,L,W,L,D
487,02.08.2018,W,W,L,D,W,L,W,W,W,W,W,W,W,W,D,L,L,L,L,W,D,L,W
488,03.08.2018,D,L,W,D,L,L,L,D,W,W,W,W,D,L,D,W,L,D,L,W,W,L,L
490,06.08.2018,D,W,W,W,L,W,W,D,W,W,W,W,L,W,W,L,L,L,D,L,L,L,L
491,07.08.2018,L,D,W,L,L,W,L,D,W,W,W,W,D,W,L,W,L,L,W,L,D,W,D
492,08.08.2018,D,W,W,W,L,W,D,W,W,L,W,L,D,D,D,D,W,L,L,W,L,L,L
493,09.08.2018,L,W,W,D,W,W,L,W,D,L,W,L,L,W,W,W,W,W,L,W,W,W,W
494,10.08.2018,D,L,W,D,D,W,W,D,W,L,L,L,D,W,W,L,L,L,W,L,L,L,D
496,13.08.2018,W,W,W,W,W,W,L,L,D,L,W,L,W,W,W,W,W,W,W,W,L,W,L
497,14.08.2018,L,L,L,D,L,W,L,L,W,L,L,L,L,L,L,W,W,W,L,W,W,L,W
498,15.08.2018,W,L,L,D,L,L,W,D,W,L,L,W,D,L,L,L,L,W,L,L,W,L,L
499,16.08.2018,D,W,W,W,W,W,W,D,L,W,L,L,L,L,L,W,W,L,L,W,W,L,W
500,17.08.2018,D,L,L,W,W,D,D,L,L,L,L,D,D,D,D,D,D,L,W,W,L,L,D
502,20.08.2018,L,W,W,W,D,L,W,D,W,D,D,W,W,L,L,D,W,D,L,W,D,W,W
503,21.08.2018,D,L,L,D,D,W,W,W,D,L,L,W,D,W,D,W,L,W,W,L,W,W,D
504,22.08.2018,W,L,W,D,D,L,L,W,D,L,W,D,W,L,D,L,W,L,W,L,L,D,D
505,23.08.2018,L,D,L,L,W,D,W,D,W,W,W,L,D,L,W,L,L,L,W,L,D,L,L
506,24.08.2018,D,W,L,D,D,L,L,W,L,L,L,L,L,L,D,W,W,W,L,W,W,L,W
508,27.08.2018,L,D,L,D,W,W,W,D,W,W,W,W,D,L,D,L,L,W,D,L,W,W,L
509,28.08.2018,W,W,L,L,W,L,W,W,W,L,L,L,D,W,L,L,W,W,W,W,L,W,W
510,29.08.2018,D,W,L,D,W,L,D,L,D,W,W,D,W,L,L,L,W,W,L,W,L,L,W
511,30.08.2018,L,W,W,W,W,L,D,L,D,W,D,D,D,W,W,W,W,W,L,L,W,D,W
512,31.08.2018,D,L,W,L,L,W,D,L,L,W,W,W,D,W,D,D,W,W,L,L,L,L,D
514,03.09.2018,W,W,L,W,W,L,L,L,W,L,L,L,L,L,W,W,W,D,L,W,L,W,D
515,04.09.2018,L,L,W,D,L,W,L,D,L,L,L,W,L,L,L,L,L,L,D,L,W,L,W
516,05.09.2018,D,L,L,D,W,L,W,L,W,D,L,W,W,W,D,L,L,D,D,W,D,L,L
517,06.09.2018,L,L,D,D,D,L,D,W,D,W,L,D,D,W,L,W,L,L,L,W,W,W,W
518,07.09.2018,D,L,L,D,L,W,W,L,L,W,W,W,D,W,D,W,L,D,L,W,L,D,D
520,10.09.2018,D,W,W,W,W,W,L,L,W,W,W,W,W,L,D,W,L,L,W,W,W,L,L
521,11.09.2018,W,L,L,L,W,L,W,L,L,L,L,W,D,L,D,W,L,W,L,W,W,W,W
522,12.09.2018,W,L,W,D,W,L,L,L,W,L,W,L,W,W,L,L,D,D,L,L,W,L,W
523,13.09.2018,D,L,W,D,W,W,L,L,L,W,W,L,D,D,D,L,W,W,L,W,W,W,W
524,14.09.2018,D,D,L,D,L,L,D,D,L,W,L,L,L,L,D,L,L,L,L,D,L,L,L
526,17.09.2018,L,L,W,D,L,W,L,L,W,L,L,L,L,W,W,W,W,W,L,L,W,L,D
527,18.09.2018,D,W,W,W,W,W,W,D,L,W,W,W,L,W,D,W,W,W,L,L,L,W,D
528,19.09.2018,D,W,L,D,D,L,W,W,L,L,W,L,D,D,L,D,W,L,W,L,W,W,W
529,20.09.2018,D,L,W,D,L,W,L,L,W,L,L,W,D,W,W,W,L,W,W,L,L,L,W
530,21.09.2018,L,D,L,W,L,W,W,D,L,L,L,L,D,L,D,W,D,L,D,L,L,W,D
532,24.09.2018,D,D,W,D,W,W,W,W,L,W,W,W,D,L,D,L,D,D,W,W,W,D,D
533,25.09.2018,D,W,W,L,L,L,L,L,L,L,L,L,D,W,D,W,L,W,L,L,L,L,W
534,26.09.2018,D,W,L,L,L,W,D,W,W,L,W,L,D,L,L,L,L,W,L,W,W,D,D
535,27.09.2018,D,L,L,L,W,L,L,W,L,W,L,W,W,L,W,L,L,L,W,L,W,D,D
536,28.09.2018,D,W,W,D,W,L,W,L,L,W,D,L,W,W,D,L,D,D,D,L,W,W,L
538,01.10.2018,L,L,L,L,W,W,W,L,L,W,L,L,D,L,W,W,W,W,L,L,W,L,W
539,02.10.2018,L,L,W,W,D,L,D,D,W,L,L,D,W,W,L,W,W,W,L,L,L,D,W
540,03.10.2018,D,W,W,W,W,L,D,D,W,W,L,W,D,W,D,W,W,L,L,L,L,W,L
541,04.10.2018,W,W,L,W,W,W,W,W,W,W,W,D,W,W,W,W,W,L,L,L,L,W,W
542,05.10.2018,D,L,L,L,L,L,L,L,W,L,D,L,L,W,W,L,L,L,L,L,L,W,W
544,08.10.2018,D,W,L,W,W,W,L,W,W,W,W,W,D,L,D,L,L,W,L,L,W,W,W
545,09.10.2018,D,L,L,L,W,L,W,L,W,D,D,L,W,L,W,L,D,L,L,W,L,L,D
546,10.10.2018,D,W,D,L,L,L,L,D,L,L,L,L,D,D,L,D,D,L,W,W,D,L,L
547,11.10.2018,D,W,W,D,L,W,L,L,L,L,W,L,L,L,W,L,L,L,L,W,L,W,W
548,12.10.2018,L,D,W,L,L,W,W,D,L,L,L,L,L,L,W,L,L,L,W,D,D,L,L
550,15.10.2018,D,D,D,D,W,D,D,L,L,W,W,W,D,D,D,D,W,L,D,W,W,W,L
551,16.10.2018,D,L,W,D,W,L,W,W,W,W,W,W,L,L,L,L,L,W,L,L,W,D,D
552,17.10.2018,D,L,L,D,W,W,W,D,D,W,L,W,D,L,L,L,L,L,L,L,W,D,W
553,18.10.2018,W,L,L,W,W,D,W,W,L,W,D,W,D,L,L,L,L,W,L,L,L,W,L
554,19.10.2018,D,L,W,D,W,W,D,W,W,L,W,L,D,D,D,D,L,L,W,W,W,W,L
556,22.10.2018,D,W,W,D,W,W,W,D,D,W,W,W,D,W,D,L,W,L,L,L,L,D,D
557,23.10.2018,D,W,L,D,W,W,L,W,L,L,W,L,W,L,L,W,W,L,L,L,L,W,L
558,24.10.2018,D,L,L,L,W,L,W,L,W,W,W,L,L,W,L,L,L,W,L,L,W,L,L
559,25.10.2018,W,W,L,D,D,W,L,D,W,D,L,L,L,L,L,W,L,W,L,W,W,W,D
560,26.10.2018,L,D,W,L,L,L,L,W,L,W,D,L,W,L,L,W,L,D,L,W,L,W,L
562,29.10.2018,D,L,D,D,L,W,W,D,L,L,L,W,W,D,W,D,D,W,W,W,D,L,D
563,30.10.2018,D,L,L,L,L,W,L,W,D,L,D,L,L,W,D,L,L,L,W,L,W,D,D
564,31.10.2018,L,W,L,D,D,L,D,D,W,W,W,W,D,D,L,D,D,D,W,W,D,L,D
565,01.11.2018,L,W,W,W,W,W,W,L,W,L,L,W,D,W,D,W,W,W,L,W,W,W,W
566,02.11.2018,L,D,W,L,W,W,L,D,D,W,L,D,W,W,D,L,L,W,W,L,W,W,L
568,05.11.2018,D,D,D,W,W,L,L,D,L,W,W,L,W,W,L,L,W,L,W,W,W,W,D
569,06.11.2018,W,D,W,W,L,W,L,W,L,W,W,L,W,W,L,W,L,L,W,W,L,W,L
570,07.11.2018,L,D,W,D,W,D,L,W,L,L,L,W,D,W,D,D,W,L,D,L,W,D,L
571,08.11.2018,D,W,L,D,L,D,L,L,L,L,W,L,L,L,D,W,W,W,D,W,W,W,W
572,09.11.2018,W,W,W,W,L,W,L,W,L,W,W,W,W,L,W,W,W,D,D,W,W,D,W
574,12.11.2018,D,L,L,L,W,L,W,D,L,L,L,W,W,L,L,L,L,W,W,D,D,L,D
575,13.11.2018,W,W,L,L,W,W,W,W,W,L,W,W,D,D,L,D,L,L,L,L,W,L,L
576,14.11.2018,L,W,L,L,W,W,L,L,L,L,W,L,W,W,L,W,D,W,W,W,L,L,W
577,15.11.2018,W,D,L,W,L,L,D,D,L,L,W,W,W,L,L,L,L,L,D,L,W,W,W
578,16.11.2018,D,L,L,L,W,L,W,W,W,W,L,W,L,W,D,L,L,W,W,W,W,L,D
580,19.11.2018,L,D,L,W,W,L,L,L,W,L,W,W,L,L,D,W,W,W,W,L,L,W,L
581,20.11.2018,D,L,L,D,L,L,W,D,L,W,L,L,W,L,L,L,L,L,W,L,L,L,L
582,21.11.2018,D,D,L,D,D,W,D,D,L,L,L,D,D,L,D,L,L,W,L,L,D,W,D
583,22.11.2018,W,L,W,W,L,L,W,L,W,L,L,L,W,W,W,W,W,D,W,L,L,L,L
584,23.11.2018,D,L,D,D,D,L,D,L,W,L,L,D,L,D,D,D,L,W,L,L,L,L,D
586,26.11.2018,L,L,L,D,L,L,L,D,W,L,W,L,W,L,D,L,L,W,W,W,W,W,L
587,27.11.2018,D,L,W,W,W,L,L,L,L,D,L,L,W,W,D,W,W,W,W,L,L,L,L
588,28.11.2018,D,W,L,W,L,D,D,D,L,L,L,W,L,D,D,W,W,W,D,W,W,L,W
589,29.11.2018,L,L,L,L,L,D,L,L,L,L,W,L,L,L,D,L,L,W,L,L,L,W,L
590,30.11.2018,L,W,L,W,L,W,L,W,L,L,W,L,D,L,D,W,L,L,L,L,L,W,W
592,03.12.2018,W,L,D,W,W,D,W,L,L,W,L,W,D,L,D,W,L,W,D,L,W,W,W
593,04.12.2018,W,D,W,W,W,L,L,L,W,W,L,L,W,L,D,L,W,L,L,W,W,W,D
594,05.12.2018,W,D,D,W,D,D,D,D,D,D,W,D,W,D,D,D,D,L,D,W,W,D,D
595,06.12.2018,D,D,L,W,D,L,W,W,L,L,W,L,L,W,D,L,W,L,L,L,W,L,D
596,07.12.2018,D,L,L,D,L,W,W,D,L,W,L,L,D,L,L,L,L,W,L,W,L,L,W
598,10.12.2018,W,W,L,D,W,W,W,W,L,W,L,L,W,L,D,L,W,L,D,L,L,W,D
599,11.12.2018,W,L,W,D,W,D,L,D,W,L,L,L,L,L,D,W,W,W,L,L,L,D,D
600,12.12.2018,L,L,D,L,W,D,L,L,L,W,W,L,W,D,D,W,L,D,D,W,W,L,W
619,03.01.2019,D,W,L,D,W,L,W,L,L,L,L,L,W,L,W,W,W,L,L,W,L,W,D
