,Dates,EURCHF,AUDJPY,EURAUD,GBPCAD,SGDJPY,NZDUSD,USDCHF,USDJPY,EURUSD,USDCAD,USDSGD
156,11.07.2017,,,,,,,,,,,
157,12.07.2017,,,,,,,,,,,
158,13.07.2017,,,,,,,,,,,
159,14.07.2017,,,,,,,,,,,
160,15.07.2017,,,,,,,,,,,
161,17.07.2017,,,,,,,,,,,
162,18.07.2017,,,,,,,,,,,
163,19.07.2017,,,,,,,,,,,
164,20.07.2017,,,,,,,,,,,
165,21.07.2017,,,,,,,,,,,
166,22.07.2017,,,,,,,,,,,
167,24.07.2017,,,,,,,,,,,
168,25.07.2017,,,,,,,,,,,
169,26.07.2017,,,,,,,,,,,
170,27.07.2017,,,,,,,,,,,
171,28.07.2017,,,,,,,,,,,
172,29.07.2017,,,,,,,,,,,
173,31.07.2017,,,,,,,,,,,
174,01.08.2017,,,,,,,,,,,
175,02.08.2017,,,,,,,,,,,
176,03.08.2017,,,,,,,,,,,
177,04.08.2017,,,,,,,,,,,
178,05.08.2017,,,,,,,,,,,
179,07.08.2017,,,,,,,,,,,
180,08.08.2017,,,,,,,,,,,
181,09.08.2017,,,,,,,,,,,
182,10.08.2017,,,,,,,,,,,
183,11.08.2017,,,,,,,,,,,
184,12.08.2017,,,,,,,,,,,
185,14.08.2017,,,,,,,,,,,
186,15.08.2017,,,,,,,,,,,
187,16.08.2017,,,,,,,,,,,
188,17.08.2017,,,,,,,,,,,
189,18.08.2017,,,,,,,,,,,
190,19.08.2017,,,,,,,,,,,
191,21.08.2017,,,,,,,,,,,
192,22.08.2017,,,,,,,,,,,
193,23.08.2017,,,,,,,,,,,
194,24.08.2017,,,,,,,,,,,
195,25.08.2017,,,,,,,,,,,
196,26.08.2017,,,,,,,,,,,
197,28.08.2017,,,,,,,,,,,
198,29.08.2017,,,,,,,,,,,
199,30.08.2017,,,,,,,,,,,
200,31.08.2017,,,,,,,,,,,
201,01.09.2017,,,,,,,,,,,
202,02.09.2017,,,,,,,,,,,
203,04.09.2017,,,,,,,,,,,
204,05.09.2017,,,,,,,,,,,
205,06.09.2017,,,,,,,,,,,
206,07.09.2017,,,,,,,,,,,
207,08.09.2017,,,,,,,,,,,
208,09.09.2017,,,,,,,,,,,
209,11.09.2017,,,,,,,,,,,
210,12.09.2017,,,,,,,,,,,
211,13.09.2017,,,,,,,,,,,
212,14.09.2017,,,,,,,,,,,
213,15.09.2017,,,,,,,,,,,
214,16.09.2017,,,,,,,,,,,
215,18.09.2017,,,,,,,,,,,
216,19.09.2017,,,,,,,,,,,
217,20.09.2017,,,,,,,,,,,
218,21.09.2017,,,,,,,,,,,
219,22.09.2017,,,,,,,,,,,
220,23.09.2017,,,,,,,,,,,
221,25.09.2017,,,,,,,,,,,
222,26.09.2017,,,,,,,,,,,
223,27.09.2017,,,,,,,,,,,
224,28.09.2017,,,,,,,,,,,
225,29.09.2017,,,,,,,,,,,
226,30.09.2017,,,,,,,,,,,
227,02.10.2017,,,,,,,,,,,
228,03.10.2017,,,,,,,,,,,
229,04.10.2017,,,,,,,,,,,
230,05.10.2017,,,,,,,,,,,
231,06.10.2017,,,,,,,,,,,
232,07.10.2017,,,,,,,,,,,
233,09.10.2017,,,,,,,,,,,
234,10.10.2017,,,,,,,,,,,
235,11.10.2017,,,,,,,,,,,
236,12.10.2017,,,,,,,,,,,
237,13.10.2017,,,,,,,,,,,
238,14.10.2017,,,,,,,,,,,
239,16.10.2017,,,,,,,,,,,
240,17.10.2017,,,,,,,,,,,
241,18.10.2017,,,,,,,,,,,
242,19.10.2017,,,,,,,,,,,
243,20.10.2017,,,,,,,,,,,
244,21.10.2017,,,,,,,,,,,
245,23.10.2017,,,,,,,,,,,
246,24.10.2017,,,,,,,,,,,
247,25.10.2017,,,,,,,,,,,
248,26.10.2017,,,,,,,,,,,
249,27.10.2017,,,,,,,,,,,
250,28.10.2017,,,,,,,,,,,
251,30.10.2017,,,,,,,,,,,
252,31.10.2017,,,,,,,,,,,
253,01.11.2017,,,,,,,,,,,
254,02.11.2017,,,,,,,,,,,
255,03.11.2017,,,,,,,,,,,
256,04.11.2017,,,,,,,,,,,
257,06.11.2017,,,,,,,,,,,
258,07.11.2017,,,,,,,,,,,
259,08.11.2017,,,,,,,,,,,
260,09.11.2017,,,,,,,,,,,
261,10.11.2017,,,,,,,,,,,
262,11.11.2017,,,,,,,,,,,
263,13.11.2017,,,,,,,,,,,
264,14.11.2017,,,,,,,,,,,
265,15.11.2017,,,,,,,,,,,
266,16.11.2017,,,,,,,,,,,
267,17.11.2017,,,,,,,,,,,
268,18.11.2017,,,,,,,,,,,
269,20.11.2017,,,,,,,,,,,
270,21.11.2017,,,,,,,,,,,
271,22.11.2017,,,,,,,,,,,
272,23.11.2017,,,,,,,,,,,
273,24.11.2017,,,,,,,,,,,
274,25.11.2017,,,,,,,,,,,
275,27.11.2017,,,,,,,,,,,
276,28.11.2017,,,,,,,,,,,
277,29.11.2017,,,,,,,,,,,
278,30.11.2017,,,,,,,,,,,
279,01.12.2017,,,,,,,,,,,
280,02.12.2017,,,,,,,,,,,
281,04.12.2017,,,,,,,,,,,
282,05.12.2017,,,,,,,,,,,
283,06.12.2017,,,,,,,,,,,
284,07.12.2017,,,,,,,,,,,
285,08.12.2017,,,,,,,,,,,
286,09.12.2017,,,,,,,,,,,
287,11.12.2017,,,,,,,,,,,
288,12.12.2017,,,,,,,,,,,
289,13.12.2017,,,,,,,,,,,
290,14.12.2017,,,,,,,,,,,
291,15.12.2017,,,,,,,,,,,
292,16.12.2017,,,,,,,,,,,
293,18.12.2017,,,,,,,,,,,
294,19.12.2017,,,,,,,,,,,
295,20.12.2017,,,,,,,,,,,
296,21.12.2017,,,,,,,,,,,
297,22.12.2017,,,,,,,,,,,
298,23.12.2017,,,,,,,,,,,
299,25.12.2017,,,,,,,,,,,
300,26.12.2017,,,,,,,,,,,
301,27.12.2017,,,,,,,,,,,
302,28.12.2017,,,,,,,,,,,
303,29.12.2017,,,,,,,,,,,
304,30.12.2017,,,,,,,,,,,
305,02.01.2018,,,,,,,,,,,
